model,roc_auc_ovr,auc_class_0,auc_class_1,auc_class_2
naive_bayes,0.5958515455514876,0.6133080683253694,0.5813343275602516,0.5929122407688416
naive_bayes,0.6164984198929736,0.6149805020047235,0.6089475732890621,0.6255671843851349
naive_bayes,0.631446071393175,0.6362497940352613,0.6260311586964371,0.6320572614478266
naive_bayes,0.6254889083781529,0.6459438677431757,0.6239758759279842,0.6065469814632986
naive_bayes,0.6153323035522034,0.5758774097874444,0.6256864620997884,0.6444330387693772
decision_tree,0.7014261254575693,0.6745674740484429,0.7164811870694224,0.7132297152548425
decision_tree,0.7210129211722774,0.7065304553193826,0.7099225722338685,0.7465857359635812
decision_tree,0.75635097459576,0.7998077662437526,0.7628346722568481,0.7064104852866792
decision_tree,0.7151864382242984,0.7755698357774483,0.7189268914932632,0.6510625874021839
decision_tree,0.7218198734234168,0.6902290327895864,0.727075331448054,0.7481552560326103
decision_tree,0.6922712115252755,0.6739852803866645,0.6900579653052323,0.7127703888839299
decision_tree,0.7398363437374819,0.7160515186466743,0.745661981606802,0.7577955309589695
decision_tree,0.7032382168169349,0.6951694403251497,0.7011034980842373,0.7134417120414175
decision_tree,0.7310647308805187,0.7206623826000988,0.7301822905675066,0.7423495194739506
decision_tree,0.6688925226402013,0.641365958147965,0.6763369303712875,0.6889746794013509
random_forest,0.76779628695623,0.7465617619596858,0.7716021591607225,0.7852249397482818
random_forest,0.7911590182133884,0.8038309441423628,0.7827661081174876,0.7868800023803147
random_forest,0.8299664770239895,0.8399544131378041,0.8330191201091773,0.8169258978249874
random_forest,0.8017898779615432,0.8375048058439062,0.7987311882418598,0.7691336397988634
random_forest,0.7999881049291756,0.7867578403910584,0.7960146507777949,0.8171918236186735
random_forest,0.7914659956022533,0.7751167133520074,0.7939910238192383,0.8052902496355143
random_forest,0.7866610416199892,0.7673202614379084,0.785256365162664,0.8074064982593948
random_forest,0.8102868087434264,0.7966935793925414,0.8075467450792803,0.8266201017584575
random_forest,0.7823012597912274,0.7546767726698522,0.7835410892412453,0.8086859174625844
random_forest,0.7849254104065274,0.7454303289943429,0.7932289395069198,0.8161169627183196
