project_length_Days,project_length_Hours,project_length_Weeks,project_length_Months,issue_len_description,time_limit,have_changed,bounty_type_Bug,bounty_type_Code_Review,bounty_type_Design,bounty_type_Documentation,bounty_type_Feature,bounty_type_Improvement,bounty_type_Other,bounty_type_Project,bounty_type_Security,experience_level_Advanced,experience_level_Intermediate,experience_level_Beginner,bounty_num,bounty_change_num,bounty_amount,title_len,never_expires,owner_follwers,owner_following,owner_grants_contributed,issue_index,until_time,until_fulfilment
False,False,True,False,3,-3,1,False,False,False,False,False,False,False,False,False,True,False,False,32,0,1167.02,27,0,117391,117281,495,4,58,1
False,False,False,True,3,-2,1,False,False,False,False,False,False,False,True,False,False,False,True,33,0,1000.0,70,0,117391,117281,495,81,-2,0
False,False,True,False,3,-9,1,False,False,False,False,False,False,False,False,False,True,False,False,2,0,466.81,28,0,117391,117281,495,320,48,1
False,False,False,True,3885,74,1,False,False,False,False,False,False,False,False,False,False,True,False,4,0,3000.0,51,0,0,0,0,19,74,0
False,False,False,True,3900,83,1,False,False,False,False,False,False,False,False,False,False,True,False,5,0,3000.0,45,0,0,0,0,20,57,1
False,False,False,True,3891,-9,1,False,False,False,False,False,False,False,False,False,False,True,False,34,0,3000.0,25,0,117391,117281,495,5,48,1
False,True,False,False,784,12,1,False,False,False,False,True,False,False,False,False,False,True,False,1,0,300.0,31,0,117391,117281,495,212,61,1
False,False,True,False,3,4,1,False,False,False,False,False,False,False,False,False,True,False,False,2,0,449.57,20,0,117391,117281,495,494,53,1
False,False,True,False,3,-7,1,False,False,False,False,False,False,False,False,False,True,False,False,3,0,2100.64,39,0,117391,117281,495,493,42,1
False,False,True,False,3,-27,1,False,False,False,False,False,False,False,False,False,True,False,False,0,0,2382.73,41,0,0,0,0,10,21,1
False,False,True,False,3,-6,1,False,False,False,False,False,False,False,False,False,True,False,False,4,0,2922.22,25,0,117391,117281,495,103,42,1
False,False,True,False,3,8,1,False,False,False,False,False,False,False,False,False,True,False,False,5,0,1348.72,11,0,117391,117281,495,100,56,1
False,False,True,False,3,-15,1,False,False,False,False,False,False,False,True,False,True,False,False,0,0,10.0,35,0,117391,117281,495,544,33,1
True,False,False,False,425,13,1,False,False,False,False,True,False,False,False,False,False,True,False,1,0,800.0,54,0,117391,117281,495,556,61,1
True,False,False,False,308,-15,1,False,False,False,False,True,False,False,False,False,False,False,True,2,0,600.0,30,0,117391,117281,495,558,33,1
True,False,False,False,1053,-5,1,False,False,False,False,True,False,False,False,False,False,True,False,4,0,800.0,74,0,117391,117281,495,612,43,1
False,True,False,False,660,-48,1,False,False,False,False,False,True,False,False,False,False,True,False,35,0,500.0,127,0,117391,117281,495,128,-48,0
False,True,False,False,3115,337,1,True,False,False,False,False,False,False,False,False,True,False,False,0,0,5000.0,29,0,0,0,0,1,33,1
False,False,False,True,3,8,1,False,False,False,False,False,False,False,True,False,False,False,True,36,0,1000.0,24,0,117391,117281,495,133,53,1
False,True,False,False,3,4,1,True,False,False,False,False,False,False,False,False,False,True,False,37,0,1.0,35,0,117391,117281,495,137,48,1
False,True,False,False,1274,4,1,True,False,False,False,False,False,False,False,False,True,False,False,38,0,5000.0,48,0,117391,117281,495,139,48,1
True,False,False,False,670,-69,1,True,False,False,False,False,False,False,False,False,False,False,True,39,0,252.69,51,0,117391,117281,495,1,-69,0
True,False,False,False,3090,-17,1,False,False,False,True,False,False,False,False,False,False,False,True,40,0,7000.0,57,0,117391,117281,495,8,25,1
False,True,False,False,2982,10,1,False,False,False,False,False,False,False,True,False,False,True,False,41,0,15000.0,27,0,117391,117281,495,9,52,1
False,True,False,False,3340,7,1,False,False,False,False,False,False,False,False,False,False,True,False,42,0,9000.0,50,0,117391,117281,495,14,49,1
False,True,False,False,2276,11,1,False,False,False,False,True,False,False,False,False,False,True,False,2,0,4000.0,31,0,117391,117281,495,2737,11,0
True,False,False,False,3,282,1,False,False,False,False,False,False,False,False,True,False,True,False,3,0,1000.0,20,0,117391,117281,495,2350,282,0
True,False,False,False,3,13,1,False,False,False,False,False,False,False,False,True,False,True,False,43,0,1500.0,35,0,117391,117281,495,152,55,1
True,False,False,False,3,7,1,False,False,False,False,False,False,False,False,True,False,True,False,4,0,1500.0,48,0,117391,117281,495,450,49,1
False,True,False,False,3,-54,1,False,False,False,False,False,False,False,True,False,False,True,False,4,0,100.0,42,0,117391,117281,495,1459,-13,1
True,False,False,False,2479,-4,1,False,False,False,True,False,False,False,False,False,False,True,False,44,0,600.0,57,0,117391,117281,495,157,37,1
True,False,False,False,5427,13,1,False,False,False,False,False,False,False,True,False,False,True,False,45,0,500.0,87,0,117391,117281,495,150,53,1
False,True,False,False,3,282,1,False,False,False,False,False,False,False,True,False,False,False,True,0,0,10.0,33,0,0,0,0,976,282,0
False,False,False,True,3,9,1,False,False,False,False,False,True,False,False,False,False,True,False,0,0,10.0,18,0,117391,117281,495,8,9,0
False,True,False,False,3,354,1,False,False,False,False,False,False,True,False,False,False,True,False,46,0,100.0,23,0,117391,117281,495,168,43,1
True,False,False,False,223,4,1,False,False,True,False,False,False,False,False,False,True,False,False,47,0,350.0,21,0,0,0,0,14,42,1
True,False,False,False,2789,9,1,False,False,False,False,False,False,False,True,False,False,True,False,48,0,8650.14,19,0,117391,117281,495,173,44,1
True,False,False,False,2475,-13,1,False,False,False,False,False,False,False,True,False,False,True,False,0,0,2883.38,63,0,117391,117281,495,453,-13,0
True,False,False,False,2367,13,1,False,False,False,False,False,False,False,True,False,False,True,False,49,0,2883.38,20,0,117391,117281,495,167,49,1
True,False,False,False,3310,-2,1,False,False,False,False,False,False,False,True,False,True,False,False,50,0,25000.0,21,0,117391,117281,495,174,34,1
True,False,False,False,2646,5,1,False,False,False,False,False,False,False,True,False,True,False,False,51,0,7208.45,39,0,117391,117281,495,175,41,1
True,False,False,False,2990,0,1,False,False,False,False,False,False,False,True,False,False,True,False,52,0,7208.45,21,0,117391,117281,495,177,35,1
True,False,False,False,2636,-15,1,False,False,False,False,False,False,False,True,False,False,False,True,53,0,2018.37,65,0,117391,117281,495,181,26,1
False,True,False,False,6530,-40,1,False,False,False,False,True,False,False,False,False,False,True,False,54,0,10000.0,16,0,117391,117281,495,184,0,1
